248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248
18	248	18	18	18	248	18	18	18	248	18	18	18	248	18	248	18	18	18	248	18	18	18	248	18
18	248	248	248	18	248	18	248	18	248	18	248	248	248	18	248	18	248	18	248	18	248	18	248	18
18	248	248	18	248	248	18	248	18	248	18	18	18	248	18	248	18	248	18	248	18	248	18	248	18
18	248	18	248	248	248	18	248	18	248	18	248	18	248	18	248	18	248	18	248	18	248	18	248	18
18	248	18	18	18	248	18	18	18	248	18	18	18	248	18	248	18	18	18	248	18	18	18	248	18
248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248
248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248
248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248
248	248	248	200	200	200	248	200	200	248	248	200	200	200	248	248	248	248	248	248	248	248	248	248	248
248	248	248	200	18	200	248	200	18	200	248	200	18	200	248	248	248	248	248	248	248	248	248	248	248
248	248	248	200	18	200	248	200	18	18	200	200	18	200	248	248	248	248	248	248	248	248	248	248	248
248	248	248	200	18	200	248	200	18	200	18	200	18	200	248	248	248	248	248	248	248	248	248	248	248
248	248	248	200	18	200	200	200	18	200	200	18	18	200	200	200	248	248	248	248	248	248	248	248	248
248	248	248	200	18	200	18	200	18	200	248	200	18	200	18	200	248	248	248	248	248	248	248	248	248
248	248	248	200	200	200	200	200	200	200	248	200	200	200	200	200	248	248	248	248	248	248	248	248	248
248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248
248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248
248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248
248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248
248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248
248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248
248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248
248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248
248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248
